"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"44",44,1012.303711,1012.14416902767,1009.914551,1013.749512,1011.746826,1012.69897425,3000,1579511582.93662,1579511733.28992,2020-01-20 14:15:33,3602.98367595673
"45",45,1009.5181885,1009.54057616867,1008.204346,1011.480713,1009.21661375,1009.833313,3000,1579515186.11905,1579515336.47231,2020-01-20 15:15:36,3603.18242692947
"46",46,1010.395874,1010.360762532,1009.103027,1011.46167,1010.05145275,1010.67511,3000,1579518789.22367,1579518939.56832,2020-01-20 16:15:39,3603.10461711884
"47",47,1011.588135,1011.56781061266,1010.132568,1012.687744,1011.27594,1011.862305,3080,1579522391.67168,1579522538.53872,2020-01-20 17:15:38,3602.44801187515
"48",48,1011.942627,1011.88967482597,1010.735596,1012.836914,1011.60229475,1012.185791,3080,1579525995.36382,1579526141.70817,2020-01-20 18:15:41,3603.69214105606
"49",49,1012.9852295,1012.99368651067,1011.973145,1014.152588,1012.705444,1013.28503425,3000,1579529598.73631,1579529749.08961,2020-01-20 19:15:49,3603.37248897552
"50",50,1015.090088,1015.097086745,1014.337646,1015.966064,1014.969177,1015.233948,3000,1579533201.21888,1579533352.18992,2020-01-20 20:15:52,3602.4825720787
"51",51,1016.005615,1016.00223119467,1015.155273,1016.617432,1015.85516375,1016.150391,3000,1579536804.59998,1579536955.3507,2020-01-20 21:15:55,3603.38109898567
"52",52,1016.400146,1016.398471516,1015.835205,1017.07373,1016.260986,1016.541748,3000,1579540408.19713,1579540558.57201,2020-01-20 22:15:58,3603.59715104103
"53",53,1015.269531,1015.253075357,1014.2771,1016.111572,1015.083923,1015.44323725,3000,1579544011.27584,1579544161.54272,2020-01-20 23:16:01,3603.07870578766
"54",54,1016.066162,1016.06397493133,1015.46875,1016.597412,1015.983643,1016.145752,3000,1579547613.35234,1579547763.70127,2020-01-21 00:16:03,3602.07649898529
"55",55,1014.1115725,1014.062781001,1012.904053,1014.931152,1013.782715,1014.354248,3000,1579551217.32961,1579551367.57919,2020-01-21 01:16:07,3603.97727417946
"56",56,1015.05127,1015.04955192767,1014.554443,1015.449463,1014.944885,1015.160217,3000,1579554820.41697,1579554970.67087,2020-01-21 02:16:10,3603.08735704422
"57",57,1013.963623,1013.918491623,1013.121338,1014.635498,1013.772583,1014.103271,3000,1579558423.51297,1579558573.86191,2020-01-21 03:16:13,3603.0960059166
"58",58,1013.927368,1013.89352082967,1012.79541,1014.563965,1013.753784,1014.092041,3000,1579562026.68671,1579562177.04001,2020-01-21 04:16:17,3603.17373800278
"59",59,1014.359375,1014.32812874133,1013.423584,1015.054443,1014.17627,1014.502075,3000,1579565629.77407,1579565780.11872,2020-01-21 05:16:20,3603.08735609055
"60",60,1014.824707,1014.822973798,1013.830566,1015.926025,1014.652344,1015.01641825,3000,1579569232.74048,1579569383.2104,2020-01-21 06:16:23,3602.96641588211
"61",61,1015.041504,1015.02340901967,1013.98584,1015.708252,1014.847168,1015.210022,3000,1579572835.62913,1579572985.98239,2020-01-21 07:16:25,3602.8886449337
"62",62,1014.841064,1014.83305695682,1013.766602,1015.656494,1014.58471675,1015.08374,3080,1579576439.01888,1579576585.37184,2020-01-21 08:16:25,3603.38974905014
"63",63,1014.4019775,1014.362784502,1012.96875,1015.252197,1014.126892,1014.634888,3000,1579580042.19266,1579580192.54159,2020-01-21 09:16:32,3603.1737780571
"64",64,1015.10498,1015.093900712,1014.406738,1015.780029,1014.932556,1015.274292,3000,1579583645.38369,1579583795.7283,2020-01-21 10:16:35,3603.19103693962
"65",65,1014.268921,1014.23553605467,1013.005371,1015.314941,1013.944763,1014.538086,3000,1579587247.56383,1579587397.90848,2020-01-21 11:16:37,3602.18014001846
"66",66,1014.907837,1014.886327558,1013.21582,1017.060059,1014.64331075,1015.12884525,3000,1579590851.54111,1579591001.89008,2020-01-21 12:16:41,3603.97727298737
"67",67,1014.081787,1014.04398837167,1012.912109,1015.087646,1013.724548,1014.368164,3000,1579594454.61985,1579594604.67937,2020-01-21 13:16:44,3603.07874703407
"68",68,1014.1408695,1014.21748185233,1010.504395,1016.511963,1013.47070325,1015.012329,3000,1579598057.39617,1579598207.74943,2020-01-21 14:16:47,3602.77631497383
"69",69,1012.5336915,1012.64578613367,1010.763184,1015.248291,1011.9816895,1013.16815225,3000,1579601660.57856,1579601810.93185,2020-01-21 15:16:50,3603.18238711357
"70",70,1012.0458985,1011.938206301,1009.915039,1013.054688,1011.675781,1012.302307,3000,1579605263.57088,1579605413.91985,2020-01-21 16:16:53,3602.99232578278
"71",71,1011.338135,1011.30362320033,1009.645508,1012.432129,1010.970459,1011.678345,3000,1579608867.04705,1579609017.40031,2020-01-21 17:16:57,3603.47617006302
"72",72,1010.859253,1010.84030150633,1009.60376,1012.10083,1010.43328875,1011.269409,3000,1579612470.12576,1579612620.39263,2020-01-21 18:17:00,3603.07870602608
"73",73,1011.423584,1011.35046524933,1009.649658,1012.401367,1011.031311,1011.714844,3000,1579616073.10078,1579616223.56209,2020-01-21 19:17:03,3602.97502613068
"74",74,1012.7646485,1012.76041544767,1011.911377,1013.363525,1012.61370875,1012.913635,3000,1579619676.09311,1579619826.44208,2020-01-21 20:17:06,3602.99232578278
"75",75,1013.0286865,1013.024599691,1012.481201,1013.559814,1012.884033,1013.15875225,3000,1579623279.06818,1579623429.42143,2020-01-21 21:17:09,3602.975066185
"76",76,1013.044434,1013.04677327,1012.455566,1013.644775,1012.923767,1013.177307,3000,1579626881.64578,1579627031.99904,2020-01-21 22:17:11,3602.57760286331
"77",77,1013.042969,1013.034169032,1012.540527,1013.493896,1012.915527,1013.144043,3000,1579630485.63166,1579630635.98063,2020-01-21 23:17:15,3603.98588299751
"78",78,1013.114502,1013.10389616433,1012.601074,1013.484863,1013.007812,1013.20636,3000,1579634087.92417,1579634238.2688,2020-01-22 00:17:18,3602.29251098633
"79",79,1012.771484,1012.776878502,1012.288818,1013.334473,1012.636658,1012.918274,3000,1579637691.59905,1579637841.95231,2020-01-22 01:17:21,3603.67488098145
"80",80,1012.491089,1012.48917269633,1012.100342,1012.880859,1012.399658,1012.584229,3000,1579641294.98015,1579641445.32913,2020-01-22 02:17:25,3603.38109898567
"81",81,1012.281616,1012.284611737,1011.812988,1012.732178,1012.184021,1012.376709,3000,1579644897.96383,1579645048.30848,2020-01-22 03:17:28,3602.98367619514
"82",82,1011.654541,1011.617597325,1010.630615,1012.295898,1011.496826,1011.79406725,3000,1579648500.9475,1579648651.20145,2020-01-22 04:17:31,3602.98367595673
"83",83,1012.070801,1012.06310604367,1011.384766,1012.563477,1011.960938,1012.177368,3000,1579652103.70656,1579652254.37951,2020-01-22 05:17:34,3602.75905394554
"84",84,1012.685913,1012.64412971433,1011.609131,1013.235352,1012.477051,1012.84265125,3000,1579655707.09631,1579655857.35888,2020-01-22 06:17:37,3603.38974905014
"85",85,1013.149292,1013.15917155467,1012.353027,1014.113037,1012.94165,1013.370117,3000,1579659310.20096,1579659460.54992,2020-01-22 07:17:40,3603.10465693474
"86",86,1013.505737,1013.52907381367,1012.375,1015.228516,1013.14666775,1013.839111,3000,1579662913.27967,1579663063.62864,2020-01-22 08:17:43,3603.07870602608
"87",87,1015.0808105,1015.15526179733,1014.000732,1016.485107,1014.842224,1015.506714,3000,1579666516.24609,1579666666.59934,2020-01-22 09:17:46,3602.96641588211
"88",88,1016.8116455,1016.825795652,1016.089111,1017.797363,1016.642334,1017.006104,3000,1579670119.54081,1579670269.88976,2020-01-22 10:17:49,3603.29471921921
