"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"30",30,1011.095459,1011.04087326429,1009.763916,1012.416504,1010.66638175,1011.447632,3080,1580900258.05632,1580900404.30992,2020-02-05 16:00:04,3602.66398406029
"31",31,1010.115723,1010.09444767,1008.804688,1011.110596,1009.8349,1010.406616,3000,1580903860.42656,1580904010.68048,2020-02-05 17:00:10,3602.37024092674
"32",32,1009.944824,1009.93433821299,1008.962891,1010.841553,1009.681885,1010.20642125,3080,1580907464.10144,1580907610.74814,2020-02-05 18:00:10,3603.67488098145
"33",33,1009.581421,1009.58806364133,1008.565186,1010.587158,1009.383728,1009.799072,3000,1580911067.06786,1580911217.42112,2020-02-05 19:00:17,3602.96641612053
"34",34,1009.660889,1009.66386726167,1008.814697,1010.393066,1009.475342,1009.86541725,3000,1580914670.55264,1580914820.80225,2020-02-05 20:00:20,3603.48478007317
"35",35,1009.710205,1009.67823152933,1008.643066,1010.455566,1009.440979,1009.93829325,3000,1580918273.63134,1580918423.98032,2020-02-05 21:00:23,3603.07870578766
"36",36,1009.016113,1008.997122477,1007.905273,1009.793945,1008.78125,1009.230835,3000,1580921876.49408,1580922026.83873,2020-02-05 22:00:26,3602.86273503304
"37",37,1010.847168,1010.84088738133,1010.129883,1011.553467,1010.720215,1010.962219,3000,1580925479.59009,1580925630.03841,2020-02-05 23:00:30,3603.09600710869
"38",38,1011.767822,1011.75911597433,1011.153564,1012.273193,1011.633972,1011.88629125,3000,1580929082.76382,1580929233.00911,2020-02-06 00:00:33,3603.1737370491
"39",39,1012.138306,1012.14049243233,1011.650879,1012.581543,1012.044128,1012.247925,3000,1580932685.92895,1580932836.17857,2020-02-06 01:00:36,3603.16512799263
"40",40,1012.67981,1012.69718693067,1011.645264,1013.452148,1012.533142,1012.85516325,3000,1580936288.11778,1580936438.37168,2020-02-06 02:00:38,3602.18882989883
"41",41,1010.460693,1010.45517505333,1009.303711,1011.461426,1010.23870875,1010.670044,3000,1580939891.87039,1580940042.12001,2020-02-06 03:00:42,3603.75261092186
"42",42,1010.886719,1010.856743978,1009.568359,1011.867188,1010.59143075,1011.145447,3000,1580943495.04417,1580943645.38882,2020-02-06 04:00:45,3603.1737780571
"43",43,1011.293823,1011.26310115933,1009.741943,1012.443604,1010.97674575,1011.571533,3000,1580947097.73406,1580947248.18239,2020-02-06 05:00:48,3602.68989300728
"44",44,1011.856323,1011.822490644,1010.050781,1012.998291,1011.588318,1012.109741,3000,1580950700.80416,1580950851.14881,2020-02-06 06:00:51,3603.0700969696
"45",45,1012.9729,1012.959572518,1012.253906,1013.506836,1012.825928,1013.0979,3000,1580954304.29759,1580954454.65089,2020-02-06 07:00:54,3603.49343013763
"46",46,1012.086304,1012.135155994,1010.702881,1013.925537,1011.816589,1012.36468525,3000,1580957907.67008,1580958058.01905,2020-02-06 08:00:58,3603.37248897552
"47",47,1012.639404,1012.70141276133,1011.1875,1014.157471,1012.355591,1013.006897,3000,1580961510.43774,1580961660.79104,2020-02-06 09:01:00,3602.76766395569
"48",48,1012.475586,1012.42098144367,1010.264893,1013.828125,1011.79339575,1013.148804,3000,1580965113.61152,1580965263.96049,2020-02-06 10:01:03,3603.17377710342
"49",49,1014.035034,1013.93761051033,1011.584717,1015.737061,1013.53271475,1014.426758,3000,1580968716.07679,1580968866.43009,2020-02-06 11:01:06,3602.46527194977
"50",50,1014.474487,1014.45705509767,1013.020752,1015.744141,1014.20251475,1014.744751,3000,1580972319.71711,1580972470.16977,2020-02-06 12:01:10,3603.64032101631
"51",51,1015.849121,1015.72445589233,1013.422607,1016.84668,1015.403992,1016.128174,3000,1580975922.60576,1580976072.95906,2020-02-06 13:01:12,3602.8886449337
"52",52,1015.23291,1015.12420448929,1013.432617,1016.240479,1014.745361,1015.56634525,3080,1580979525.38207,1580979671.7307,2020-02-06 14:01:11,3602.77631497383
"53",53,1015.5565185,1015.49278939233,1014.40332,1016.262695,1015.28186,1015.73333725,3000,1580983128.78047,1580983279.12944,2020-02-06 15:01:19,3603.39839911461
"54",54,1014.984375,1014.973962238,1013.678223,1015.862793,1014.755066,1015.247864,3000,1580986731.73824,1580986882.09153,2020-02-06 16:01:22,3602.95776581764
"55",55,1014.909668,1014.87163272867,1013.909668,1015.480957,1014.711182,1015.080322,3000,1580990334.61823,1580990484.97153,2020-02-06 17:01:24,3602.87999510765
"56",56,1015.0600585,1015.033520832,1013.981689,1015.545166,1014.901062,1015.18829325,3000,1580993938.29311,1580994088.64209,2020-02-06 18:01:28,3603.67488098145
"57",57,1015.149902,1015.093522379,1014.144775,1015.787842,1014.922363,1015.32379125,3000,1580997541.17311,1580997691.52208,2020-02-06 19:01:31,3602.87999510765
"58",58,1013.9676515,1013.88530249633,1011.979004,1014.779053,1013.64154075,1014.236633,3000,1581001144.25185,1581001294.60079,2020-02-06 20:01:34,3603.07874679565
