"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"13",13,1025.541626,1025.53140546324,1024.949707,1026.067627,1025.455322,1025.645813,680,1581200360.47297,1581200386.52257,2020-02-09 03:19:46,3603.57119989395
"14",14,1026.327515,1026.33129882353,1026.006348,1026.631836,1026.25244175,1026.414795,680,1581203963.50846,1581203996.21088,2020-02-09 04:19:56,3603.03549599648
"15",15,1025.2093505,1025.170516355,1024.140381,1025.783447,1024.98071275,1025.383545,600,1581207566.544,1581207596.68898,2020-02-09 05:19:56,3603.03553700447
"16",16,1027.470337,1027.46272868667,1027.175049,1027.761719,1027.38311775,1027.537598,600,1581211169.82146,1581211200.48912,2020-02-09 06:20:00,3603.2774579525
"17",17,1028.152954,1028.14450641833,1027.851318,1028.431396,1028.069641,1028.220459,600,1581214773.89376,1581214803.86161,2020-02-09 07:20:03,3604.07230401039
"18",18,1028.361084,1028.37383950167,1027.900879,1028.949951,1028.239014,1028.479553,600,1581218377.36993,1581218407.41984,2020-02-09 08:20:07,3603.47617006302
"19",19,1028.7630615,1028.77248248,1028.472656,1029.172363,1028.672302,1028.85083,600,1581221980.12894,1581222010.17889,2020-02-09 09:20:10,3602.75901389122
"20",20,1029.40918,1029.49230837833,1028.837402,1030.466309,1029.2477415,1029.724548,600,1581225583.69153,1581225613.74144,2020-02-09 10:20:13,3603.56259012222
"21",21,1028.626709,1028.62410442,1028.318115,1028.915527,1028.538025,1028.711243,600,1581229187.65151,1581229217.70146,2020-02-09 11:20:17,3603.95997405052
"22",22,1028.681152,1028.67270426667,1028.362549,1028.924072,1028.597839,1028.75250225,600,1581232790.10817,1581232820.05872,2020-02-09 12:20:20,3602.45666193962
"23",23,1028.808105,1028.81324951833,1028.444824,1029.057129,1028.744751,1028.88629125,600,1581236393.86943,1581236423.91938,2020-02-09 13:20:23,3603.76126098633
"24",24,1027.820679,1027.82022866833,1027.382812,1028.121582,1027.75451675,1027.895508,600,1581239997.82944,1581240027.87935,2020-02-09 14:20:27,3603.96001386642
"25",25,1027.4609375,1027.45703368833,1027.240234,1027.665283,1027.392639,1027.521973,600,1581243600.66623,1581243630.53905,2020-02-09 15:20:30,3602.83678412437
"26",26,1027.108032,1027.10653320333,1026.701904,1027.470215,1027.037109,1027.184143,600,1581247204.74718,1581247234.70206,2020-02-09 16:20:34,3604.08095502853
"27",27,1026.322266,1026.32950234333,1026.093994,1026.679443,1026.232971,1026.414368,600,1581250807.22976,1581250837.27966,2020-02-09 17:20:37,3602.4825720787
"28",28,1026.457642,1026.43968139833,1026.137451,1027.104492,1026.34002675,1026.531067,600,1581254411.68222,1581254441.73217,2020-02-09 18:20:41,3604.45246696472
"29",29,1026.443848,1026.440230315,1025.964844,1026.746094,1026.36944575,1026.50781225,600,1581258014.3376,1581258044.50848,2020-02-09 19:20:44,3602.65537285805
"30",30,1026.6745605,1026.66106200833,1026.419922,1026.983887,1026.57031275,1026.745056,600,1581261617.26945,1581261647.41872,2020-02-09 20:20:47,3602.9318561554
"31",31,1026.638916,1026.63481565833,1026.278564,1027.005615,1026.564758,1026.703186,600,1581265220.97024,1581265251.4392,2020-02-09 21:20:51,3603.70079088211
"32",32,1026.490967,1026.49650267667,1026.184326,1026.918945,1026.41070575,1026.56897,600,1581268824.33408,1581268854.98881,2020-02-09 22:20:54,3603.36383891106
"33",33,1026.031738,1026.01951212167,1025.586182,1026.436035,1025.86065675,1026.173157,600,1581272427.50786,1581272457.56209,2020-02-09 23:20:57,3603.17377710342
"34",34,1025.7437745,1025.72758258833,1025.369873,1026.071045,1025.60083,1025.84967025,600,1581276031.55425,1581276061.69919,2020-02-10 00:21:01,3604.04639410973
"35",35,1023.70813,1023.651990165,1022.61377,1024.175293,1023.50659175,1023.85333225,600,1581279634.60705,1581279664.76064,2020-02-10 01:21:04,3603.05279684067
"36",36,1024.562134,1024.54768556,1024.198486,1024.842041,1024.46655275,1024.637756,600,1581283237.89312,1581283268.46143,2020-02-10 02:21:08,3603.28606796265
"37",37,1024.088745,1024.07559489167,1023.75293,1024.353271,1023.97857675,1024.187317,600,1581286841.36064,1581286871.41054,2020-02-10 03:21:11,3603.46751999855
"38",38,1021.694214,1021.66431111833,1020.958984,1022.309082,1021.52429175,1021.82830825,600,1581290444.93184,1581290474.58865,2020-02-10 04:21:14,3603.57120013237
"39",39,1020.675293,1020.65660197667,1019.861816,1021.47876,1020.397156,1020.881897,600,1581294048.48578,1581294078.54001,2020-02-10 05:21:18,3603.55394005775
"40",40,1020.138916,1020.11122256471,1019.29248,1020.751953,1019.87384,1020.36682125,680,1581297651.63361,1581297681.67919,2020-02-10 06:21:21,3603.14782691002
"41",41,1021.8217775,1021.81633765882,1021.314941,1022.145752,1021.70458975,1021.933655,680,1581301254.62593,1581301281.01249,2020-02-10 07:21:21,3602.99232602119
"42",42,1020.091919,1020.02336995333,1018.981934,1020.531982,1019.889404,1020.232849,600,1581304857.92065,1581304888.57967,2020-02-10 08:21:28,3603.29471898079
"43",43,1019.1101075,1019.079659025,1017.776367,1019.855469,1018.86743175,1019.34228475,600,1581308462.304,1581308492.3496,2020-02-10 09:21:32,3604.38334608078
"44",44,1019.526245,1019.52189332647,1018.835938,1020.1521,1019.35668975,1019.687683,680,1581312065.0371,1581312091.53167,2020-02-10 10:21:31,3602.73310399055
"45",45,1018.92334,1018.91032632833,1018.220703,1019.416992,1018.72381625,1019.091614,600,1581315668.63425,1581315698.39903,2020-02-10 11:21:38,3603.59715104103
"46",46,1017.47876,1017.43157204412,1016.799072,1018.007324,1017.2022095,1017.687012,680,1581319271.90306,1581319298.66974,2020-02-10 12:21:38,3603.26880788803
"47",47,1016.9433595,1016.857574075,1015.795654,1017.381348,1016.650879,1017.10351525,600,1581322875.88033,1581322905.93024,2020-02-10 13:21:45,3603.97727298737
"48",48,1016.6087645,1016.59755004333,1015.980957,1017.081543,1016.46282975,1016.75085425,600,1581326478.65665,1581326508.71088,2020-02-10 14:21:48,3602.77631497383
"49",49,1016.080322,1016.07348267667,1015.755615,1016.506836,1015.940857,1016.18505825,600,1581330082.51298,1581330111.97104,2020-02-10 15:21:51,3603.85633206367
"50",50,1015.373901,1015.372387275,1015.035889,1015.662354,1015.273682,1015.47345,600,1581333685.87682,1581333715.83169,2020-02-10 16:21:55,3603.36383891106
"51",51,1013.3190915,1013.29487182167,1012.406494,1014.141602,1013.0788575,1013.5263065,600,1581337289.11968,1581337319.26896,2020-02-10 17:21:59,3603.24285817146
"52",52,1013.772583,1013.70144903088,1012.793213,1014.262207,1013.448914,1013.97088625,680,1581340891.99102,1581340920.12287,2020-02-10 18:22:00,3602.87134480476
"53",53,1012.691528,1012.67516926333,1011.870361,1013.384766,1012.4331665,1012.946167,600,1581344495.88191,1581344525.75041,2020-02-10 19:22:05,3603.89089298248
"54",54,1014.7017825,1014.68918011,1014.298096,1015.079102,1014.595703,1014.784302,600,1581348099.53954,1581348129.63265,2020-02-10 20:22:09,3603.65762114525
"55",55,1012.69104,1012.67111857833,1011.816162,1013.475098,1012.44104,1012.88244625,600,1581351702.92928,1581351733.29888,2020-02-10 21:22:13,3603.38974905014
"56",56,1013.177002,1013.15212511176,1012.526855,1013.647705,1013.019287,1013.309021,680,1581355306.24991,1581355340.56799,2020-02-10 22:22:20,3603.32062792778
"57",57,1013.4367675,1013.40656902167,1012.751465,1013.937988,1013.220703,1013.61499025,600,1581358909.97665,1581358940.05247,2020-02-10 23:22:20,3603.72674202919
"58",58,1014.403076,1014.35381958833,1013.711426,1014.931885,1014.151367,1014.568726,600,1581362513.0208,1581362543.51999,2020-02-11 00:22:23,3603.04414606094
"59",59,1015.686157,1015.69090208333,1015.392578,1015.94751,1015.610107,1015.77887,600,1581366116.33282,1581366146.7888,2020-02-11 01:22:26,3603.31201887131
"60",60,1014.261841,1014.24879883333,1013.512939,1014.826416,1014.09149175,1014.40667725,600,1581369719.72257,1581369749.77248,2020-02-11 02:22:29,3603.38974809647
"61",61,1014.135864,1014.13216835667,1013.424561,1014.733643,1013.928162,1014.346924,600,1581373324.00223,1581373353.94848,2020-02-11 03:22:33,3604.27966594696
"62",62,1014.7231445,1014.728386625,1014.038818,1015.51709,1014.546326,1014.924622,600,1581376926.74399,1581376956.43103,2020-02-11 04:22:36,3602.74175405502
"63",63,1016.811279,1016.79251545833,1016.474365,1016.981689,1016.74029575,1016.86016825,600,1581380530.0301,1581380560.17936,2020-02-11 05:22:40,3603.28610897064
"64",64,1017.289917,1017.28939818833,1016.624268,1018.143311,1017.192505,1017.39288325,600,1581384132.79776,1581384162.95135,2020-02-11 06:22:42,3602.76766395569
"65",65,1016.920532,1016.929282645,1016.483887,1017.348145,1016.831787,1017.031799,600,1581387736.55041,1581387766.60032,2020-02-11 07:22:46,3603.75265192986
"66",66,1018.934814,1018.92073508529,1018.675781,1019.236328,1018.835388,1018.98468025,680,1581391340.02654,1581391373.89968,2020-02-11 08:22:53,3603.47612905502
"67",67,1019.362183,1019.35610271333,1019.028809,1019.643799,1019.2609865,1019.44787625,600,1581394942.8029,1581394972.8528,2020-02-11 09:22:52,3602.77635502815
"68",68,1019.4904785,1019.48376057333,1019.109375,1019.762451,1019.39685075,1019.581543,600,1581398546.75426,1581398576.72207,2020-02-11 10:22:56,3603.9513630867
"69",69,1019.4986575,1019.48188518,1019.217529,1019.744141,1019.39501975,1019.561768,600,1581402149.53057,1581402179.58048,2020-02-11 11:22:59,3602.77631378174
"70",70,1019.821411,1019.80547076667,1019.488281,1020.070068,1019.735535,1019.876526,600,1581405753.87936,1581405783.65278,2020-02-11 12:23:03,3604.34878611565
"71",71,1019.923584,1019.904067405,1019.547363,1020.598145,1019.8291625,1019.979126,600,1581409356.55199,1581409386.6019,2020-02-11 13:23:06,3602.67263388634
"72",72,1019.622559,1019.62124064667,1019.343506,1019.945801,1019.548523,1019.687866,600,1581412960.01951,1581412990.06944,2020-02-11 14:23:10,3603.46751904488
"73",73,1019.4836425,1019.47476114167,1019.166016,1019.75415,1019.359497,1019.584351,600,1581416564.16098,1581416594.4312,2020-02-11 15:23:14,3604.14146494865
"74",74,1017.732666,1017.71396405,1016.960449,1018.304688,1017.585632,1017.881165,600,1581420167.32606,1581420197.47969,2020-02-11 16:23:17,3603.16508722305
"75",75,1017.309448,1017.29437131833,1016.723145,1017.949219,1017.057739,1017.50421125,600,1581423770.60352,1581423800.74846,2020-02-11 17:23:20,3603.27745890617
"76",76,1018.21582,1018.21485190833,1018.053955,1018.440674,1018.15918,1018.265137,600,1581427373.96736,1581427403.43839,2020-02-11 18:23:23,3603.36383795738
"77",77,1016.732544,1016.68466183676,1015.694336,1017.307617,1016.5036625,1016.89624025,680,1581430977.52126,1581431003.38946,2020-02-11 19:23:23,3603.55390095711
"78",78,1018.678223,1018.67129964333,1018.306396,1018.998291,1018.60376,1018.742615,600,1581434580.52224,1581434611.09055,2020-02-11 20:23:31,3603.00097608566
"79",79,1018.154785,1018.14776072059,1017.460693,1018.621338,1018.031189,1018.281128,680,1581438227.90688,1581438257.86176,2020-02-11 21:24:17,3647.38464188576
"80",80,1017.772217,1017.74838581167,1017.189941,1018.091797,1017.63110375,1017.876587,600,1581441842.9088,1581441872.57854,2020-02-11 22:24:32,3615.00191712379
"81",81,1016.597168,1016.57002809167,1015.770508,1017.342773,1016.377197,1016.77398675,600,1581445446.60098,1581445476.65089,2020-02-11 23:24:36,3603.69218087196
"82",82,1018.1461185,1018.0384329625,1016.983398,1018.454102,1018.03143275,1018.25396725,560,1581449049.27361,1581449077.21967,2020-02-12 00:24:37,3602.67263412476
