"","group","median_BaromP","mean_BaromP","min_BaromP","max_BaromP","first_Qu_BaromP","third_Qu_BaromP","count","first_time","median_time","median_time_UTC","IBI_sec"
"23",23,1026.073242,1026.04178505714,1025.095947,1026.651367,1025.876221,1026.231689,3080,1582164003.64032,1582164153.88994,2020-02-20 07:02:33,3602.95776605606
"24",24,1026.750244,1026.73519207825,1025.483887,1027.585205,1026.515991,1026.963318,3080,1582167606.58079,1582167760.74,2020-02-20 08:02:40,3602.94046497345
"25",25,1027.627075,1027.57842454903,1025.308838,1028.519043,1027.3349,1027.87902825,3080,1582171209.23616,1582171363.58976,2020-02-20 09:02:43,3602.65537405014
"26",26,1028.392944,1028.34972510033,1026.833008,1029.25708,1028.124451,1028.641174,3000,1582174812.39264,1582174962.74161,2020-02-20 10:02:42,3603.15647697449
"27",27,1027.807129,1027.73091463533,1026.018799,1028.82251,1027.42688,1028.068665,3000,1582178415.6528,1582178566.00177,2020-02-20 11:02:46,3603.26015806198
"28",28,1027.452393,1027.421296475,1025.92749,1028.406982,1027.142578,1027.752686,3000,1582182018.59326,1582182169.14095,2020-02-20 12:02:49,3602.94046592712
"29",29,1026.524536,1026.51437239233,1024.711182,1027.527832,1026.21270775,1026.87060525,3000,1582185621.93119,1582185772.28016,2020-02-20 13:02:52,3603.33792805672
"30",30,1024.944824,1024.99195654533,1023.37915,1027.436035,1024.522156,1025.314575,3000,1582189224.99264,1582189375.24225,2020-02-20 14:02:55,3603.06144690514
"31",31,1024.036743,1024.01367933019,1022.569336,1025.32251,1023.685852,1024.359009,3080,1582192827.68257,1582192982.1312,2020-02-20 15:03:02,3602.68993401527
"32",32,1023.1535645,1023.105600022,1021.081543,1024.577637,1022.737732,1023.530701,3000,1582196430.89952,1582196581.25282,2020-02-20 16:03:01,3603.2169470787
"33",33,1021.535156,1021.52154508767,1019.601318,1022.862793,1021.21862775,1021.84112525,3000,1582200033.45986,1582200183.80879,2020-02-20 17:03:03,3602.56034302711
"34",34,1020.547119,1020.55094424933,1019.328369,1021.96582,1020.272705,1020.82177725,3000,1582203637.10879,1582203787.2504,2020-02-20 18:03:07,3603.64893102646
"35",35,1019.178223,1019.186205231,1017.913574,1020.543945,1018.922363,1019.448303,3000,1582207239.74686,1582207390.10016,2020-02-20 19:03:10,3602.63807296753
"36",36,1018.368164,1018.37635229733,1016.901123,1019.701172,1018.09637475,1018.655579,3000,1582210842.80831,1582210993.55903,2020-02-20 20:03:13,3603.06144690514
"37",37,1017.735107,1017.761247721,1016.576416,1019.145996,1017.50085475,1017.990784,3000,1582214445.95618,1582214596.50815,2020-02-20 21:03:16,3603.14786696434
"38",38,1016.454712,1016.46668465133,1015.029785,1017.596191,1016.231628,1016.702515,3000,1582218049.06944,1582218199.4227,2020-02-20 22:03:19,3603.11326694489
"39",39,1015.146118,1015.15675098033,1013.76001,1016.578125,1014.865723,1015.434448,3000,1582221652.22592,1582221802.5792,2020-02-20 23:03:22,3603.15647721291
"40",40,1016.631714,1016.62673258533,1016.131104,1017.390869,1016.544189,1016.714661,3000,1582225254.81218,1582225405.16111,2020-02-21 00:03:25,3602.58625292778
"41",41,1014.481079,1014.47195353767,1013.842529,1015.030518,1014.34375,1014.597168,3000,1582228857.76129,1582229008.21823,2020-02-21 01:03:28,3602.94911599159
"42",42,1013.427124,1013.42833903467,1012.759033,1013.895508,1013.329834,1013.518616,3000,1582232460.59807,1582232611.15009,2020-02-21 02:03:31,3602.83678388596
"43",43,1012.351562,1012.34305712733,1011.764404,1012.701416,1012.275635,1012.418213,3000,1582236063.66817,1582236214.02143,2020-02-21 03:03:34,3603.0700969696
"44",44,1011.6572265,1011.65325260767,1010.929688,1012.454102,1011.54943875,1011.768066,3000,1582239666.91968,1582239817.26865,2020-02-21 04:03:37,3603.25150823593
"45",45,1008.740601,1008.739987632,1007.872314,1009.647705,1008.571228,1008.916077,3000,1582243270.17119,1582243420.52016,2020-02-21 05:03:40,3603.25150799751
"46",46,1007.829346,1007.819479007,1007.01416,1008.637451,1007.638428,1008.02417,3000,1582246873.11169,1582247023.46063,2020-02-21 06:03:43,3602.94050598145
"47",47,1006.333496,1006.32500602013,1005.035889,1007.487061,1006.05303975,1006.608704,3080,1582250476.18175,1582250626.43137,2020-02-21 07:03:46,3603.07005596161
"48",48,1005.324951,1005.31442675867,1004.428467,1006.183105,1005.11529575,1005.528198,3000,1582254079.0963,1582254229.38048,2020-02-21 08:03:49,3602.91455483437
"49",49,1005.927246,1005.930487798,1004.526367,1007.08252,1005.644775,1006.26300025,3000,1582257681.68256,1582257832.22159,2020-02-21 09:03:52,3602.5862531662
"50",50,1006.973389,1006.953873773,1005.264404,1008.302979,1006.637512,1007.28839125,3000,1582261285.12417,1582261435.46882,2020-02-21 10:03:55,3603.44160985947
"51",51,1008.2681885,1008.25749114903,1006.220215,1009.689453,1007.930786,1008.586609,3080,1582264888.47936,1582265034.93167,2020-02-21 11:03:54,3603.35518813133
"52",52,1009.739746,1009.71052741533,1008.219727,1010.887451,1009.40155,1010.037659,3000,1582268491.22111,1582268641.57008,2020-02-21 12:04:01,3602.7417550087
"53",53,1010.494263,1010.4810364539,1009.098145,1011.571045,1010.157227,1010.812317,3080,1582272094.06655,1582272244.32049,2020-02-21 13:04:04,3602.84543395042
"54",54,1011.463867,1011.44033602267,1010.31958,1012.439941,1011.24804675,1011.664551,3000,1582275697.03296,1582275847.58928,2020-02-21 14:04:07,3602.96641588211
"55",55,1011.58374,1011.54358080767,1010.249023,1012.556885,1011.284546,1011.853271,3000,1582279300.31042,1582279450.75871,2020-02-21 15:04:10,3603.27745819092
"56",56,1011.640625,1011.608026939,1010.496338,1012.524414,1011.372986,1011.87207,3000,1582282903.53602,1582283053.78992,2020-02-21 16:04:13,3603.22559785843
"57",57,1011.85498,1011.83758325033,1010.862305,1012.602051,1011.650574,1012.04718,3000,1582286506.19135,1582286656.44097,2020-02-21 17:04:16,3602.65533399582
"58",58,1012.047119,1012.02301847467,1011.08252,1012.768311,1011.859375,1012.200684,3000,1582290109.33922,1582290259.69248,2020-02-21 18:04:19,3603.14786696434
"59",59,1012.072021,1012.067614423,1011.470947,1012.677246,1011.936951,1012.19879125,3000,1582293712.48705,1582293862.8403,2020-02-21 19:04:22,3603.14782714844
"60",60,1012.492676,1012.47533871006,1011.863525,1013.054443,1012.346924,1012.61676,3080,1582297316.0496,1582297462.40255,2020-02-21 20:04:22,3603.5625500679
"61",61,1012.291382,1012.29048388067,1011.449951,1013.008057,1012.111206,1012.490784,3000,1582300918.88638,1582301069.33903,2020-02-21 21:04:29,3602.83678483963
"62",62,1012.531006,1012.507515702,1011.586182,1013.307861,1012.309082,1012.735352,3000,1582304521.63678,1582304671.99008,2020-02-21 22:04:31,3602.75040411949
"63",63,1012.105957,1012.06689603247,1011.312988,1012.837402,1011.859131,1012.274963,3080,1582308124.80191,1582308271.15056,2020-02-21 23:04:31,3603.16512703896
"64",64,1011.887207,1011.883234371,1010.868896,1012.764404,1011.66821275,1012.110535,3000,1582311728.25217,1582311878.50175,2020-02-22 00:04:38,3603.45025992393
"65",65,1010.883545,1010.88681665567,1009.614014,1011.76123,1010.671936,1011.122314,3000,1582315331.00257,1582315481.35151,2020-02-22 01:04:41,3602.75040388107
"66",66,1010.4799805,1010.46856779133,1009.184326,1011.645264,1010.19262675,1010.719055,3000,1582318933.95169,1582319084.30064,2020-02-22 02:04:44,3602.94911599159
"67",67,1010.4661865,1010.488114831,1009.465332,1011.558594,1010.249756,1010.709534,3000,1582322536.69344,1582322687.34914,2020-02-22 03:04:47,3602.74175405502
"68",68,1009.9104,1009.93310108033,1008.692627,1011.171387,1009.651062,1010.225403,3000,1582326140.16962,1582326290.10815,2020-02-22 04:04:50,3603.47617006302
